sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-15-SJMPAL012418-09A.1	TARGET-15-SJMPAL012418-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	10.979645	1.7074114
TARGET-00-SJNORM054698-14A.1	TARGET-00-SJNORM054698-14A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.395258	1.8942674
TARGET-15-SJMPAL040037-09A.4	TARGET-15-SJMPAL040037-09A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.967397	2.8126855
TARGET-20-SJAML045742-09A	TARGET-20-SJAML045742-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.872261	2.2630532
TARGET-10-PATKVD-09A	TARGET-10-PATKVD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.317833	3.401178
TARGET-00-SJNORM016314-17A.3	TARGET-00-SJNORM016314-17A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.557785	1.8578866
TARGET-15-SJMPAL040024-09A.1	TARGET-15-SJMPAL040024-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.045678	2.376951
TARGET-10-SJALL040058-09A	TARGET-10-SJALL040058-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.831746	2.536463
TARGET-10-PASNTZ-09A	TARGET-10-PASNTZ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.76611	2.8430421
TARGET-00-SJNORM016096-14A.1	TARGET-00-SJNORM016096-14A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.508632	2.2411294
TARGET-10-PARXMV-03A	TARGET-10-PARXMV-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.41549	2.894552
TARGET-10-PASRCV-09A	TARGET-10-PASRCV-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.584403	3.5635343
TARGET-15-SJMPAL016343-04A.1	TARGET-15-SJMPAL016343-04A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.5678215	1.6804981
TARGET-10-SJBALL004182-09A.1	TARGET-10-SJBALL004182-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.375945	2.8327591
TARGET-10-PARUEU-09A	TARGET-10-PARUEU-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.838314	2.633155
TARGET-10-PATALJ-09A	TARGET-10-PATALJ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.312168	2.2261305
TARGET-10-PAPEZX-09A	TARGET-10-PAPEZX-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.6245775	1.3844483
